TyreLife,CompoundEnc,RaceLapPct,Stint,FuelLoad,IsWarmup,TrackTemp,AirTemp,CircuitThrottlePct,CircuitBrakePct,CircuitAvgSpeed,Driver,Team,LapTimeSec,Compound,Circuit,Year,LapNumber,TyreLife
4.0,0,0.017543859649122806,1.0,108.5,0,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,VER,Red Bull Racing,100.236,SOFT,Bahrain Grand Prix,2022,1.0,4.0
1.0,0,0.017543859649122806,1.0,108.5,1,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,LAT,Williams,111.134,SOFT,Bahrain Grand Prix,2022,1.0,1.0
4.0,0,0.017543859649122806,1.0,108.5,0,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,GAS,AlphaTauri,104.27,SOFT,Bahrain Grand Prix,2022,1.0,4.0
4.0,0,0.017543859649122806,1.0,108.5,0,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,SAI,Ferrari,101.006,SOFT,Bahrain Grand Prix,2022,1.0,4.0
1.0,0,0.017543859649122806,1.0,108.5,1,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,MSC,Haas F1 Team,108.826,SOFT,Bahrain Grand Prix,2022,1.0,1.0
3.0,0,0.017543859649122806,1.0,108.5,0,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,HAM,Mercedes,101.555,SOFT,Bahrain Grand Prix,2022,1.0,3.0
4.0,0,0.017543859649122806,1.0,108.5,0,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,PER,Red Bull Racing,102.993,SOFT,Bahrain Grand Prix,2022,1.0,4.0
1.0,0,0.017543859649122806,1.0,108.5,1,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,OCO,Alpine,106.17,SOFT,Bahrain Grand Prix,2022,1.0,1.0
4.0,0,0.017543859649122806,1.0,108.5,0,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,RUS,Mercedes,103.445,SOFT,Bahrain Grand Prix,2022,1.0,4.0
1.0,1,0.017543859649122806,1.0,108.5,1,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,RIC,McLaren,111.601,MEDIUM,Bahrain Grand Prix,2022,1.0,1.0
1.0,0,0.017543859649122806,1.0,108.5,1,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,ZHO,Alfa Romeo,111.374,SOFT,Bahrain Grand Prix,2022,1.0,1.0
4.0,0,0.017543859649122806,1.0,108.5,0,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,ALO,Alpine,105.174,SOFT,Bahrain Grand Prix,2022,1.0,4.0
1.0,0,0.017543859649122806,1.0,108.5,1,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,ALB,Williams,107.636,SOFT,Bahrain Grand Prix,2022,1.0,1.0
1.0,0,0.017543859649122806,1.0,108.5,1,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,TSU,AlphaTauri,108.128,SOFT,Bahrain Grand Prix,2022,1.0,1.0
1.0,0,0.017543859649122806,1.0,108.5,1,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,MAG,Haas F1 Team,102.333,SOFT,Bahrain Grand Prix,2022,1.0,1.0
1.0,0,0.017543859649122806,1.0,108.5,1,29.1,23.9,55.587845728589876,22.0863258667762,198.487162145791,STR,Aston Martin,110.439,SOFT,Bahrain Grand Prix,2022,1.0,1.0
