TyreLife,CompoundEnc,RaceLapPct,Stint,FuelLoad,IsWarmup,TrackTemp,AirTemp,CircuitThrottlePct,CircuitBrakePct,CircuitAvgSpeed,Driver,Team,LapTimeSec,Compound,Circuit,Year,LapNumber,TyreLife
2.0,0,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,VER,Red Bull Racing,96.512,SOFT,Hungarian Grand Prix,2022,1.0,2.0
3.0,0,0.014285714285714285,1.0,108.5,0,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,RIC,McLaren,101.889,SOFT,Hungarian Grand Prix,2022,1.0,3.0
4.0,0,0.014285714285714285,1.0,108.5,0,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,NOR,McLaren,91.618,SOFT,Hungarian Grand Prix,2022,1.0,4.0
1.0,1,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,ZHO,Alfa Romeo,109.084,MEDIUM,Hungarian Grand Prix,2022,1.0,1.0
1.0,0,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,ALB,Williams,105.881,SOFT,Hungarian Grand Prix,2022,1.0,1.0
1.0,1,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,HAM,Mercedes,92.536,MEDIUM,Hungarian Grand Prix,2022,1.0,1.0
1.0,0,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,TSU,AlphaTauri,108.072,SOFT,Hungarian Grand Prix,2022,1.0,1.0
1.0,1,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,MSC,Haas F1 Team,102.838,MEDIUM,Hungarian Grand Prix,2022,1.0,1.0
1.0,0,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,VET,Aston Martin,109.517,SOFT,Hungarian Grand Prix,2022,1.0,1.0
1.0,1,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,OCO,Alpine,93.887,MEDIUM,Hungarian Grand Prix,2022,1.0,1.0
1.0,1,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,SAI,Ferrari,90.046,MEDIUM,Hungarian Grand Prix,2022,1.0,1.0
4.0,0,0.014285714285714285,1.0,108.5,0,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,STR,Aston Martin,104.9,SOFT,Hungarian Grand Prix,2022,1.0,4.0
1.0,1,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,LAT,Williams,110.639,MEDIUM,Hungarian Grand Prix,2022,1.0,1.0
1.0,1,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,MAG,Haas F1 Team,100.882,MEDIUM,Hungarian Grand Prix,2022,1.0,1.0
4.0,0,0.014285714285714285,1.0,108.5,0,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,RUS,Mercedes,88.391,SOFT,Hungarian Grand Prix,2022,1.0,4.0
1.0,1,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,LEC,Ferrari,90.984,MEDIUM,Hungarian Grand Prix,2022,1.0,1.0
1.0,0,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,PER,Red Bull Racing,98.691,SOFT,Hungarian Grand Prix,2022,1.0,1.0
1.0,1,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,BOT,Alfa Romeo,103.547,MEDIUM,Hungarian Grand Prix,2022,1.0,1.0
1.0,1,0.014285714285714285,1.0,108.5,1,26.5,18.6,50.22316459498795,22.673054228218525,187.16505123203055,ALO,Alpine,95.54,MEDIUM,Hungarian Grand Prix,2022,1.0,1.0
5.0,0,0.02857142857142857,1.0,107.0,0,26.4,18.4,50.22316459498795,22.673054228218525,187.16505123203055,RUS,Mercedes,112.128,SOFT,Hungarian Grand Prix,2022,2.0,5.0
2.0,1,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,SAI,Ferrari,114.643,MEDIUM,Hungarian Grand Prix,2022,2.0,2.0
2.0,1,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,LEC,Ferrari,114.855,MEDIUM,Hungarian Grand Prix,2022,2.0,2.0
5.0,0,0.02857142857142857,1.0,107.0,0,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,NOR,McLaren,115.079,SOFT,Hungarian Grand Prix,2022,2.0,5.0
2.0,1,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,HAM,Mercedes,114.827,MEDIUM,Hungarian Grand Prix,2022,2.0,2.0
2.0,1,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,OCO,Alpine,114.847,MEDIUM,Hungarian Grand Prix,2022,2.0,2.0
2.0,1,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,ALO,Alpine,114.233,MEDIUM,Hungarian Grand Prix,2022,2.0,2.0
3.0,0,0.02857142857142857,1.0,107.0,0,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,VER,Red Bull Racing,114.46,SOFT,Hungarian Grand Prix,2022,2.0,3.0
2.0,0,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,PER,Red Bull Racing,114.989,SOFT,Hungarian Grand Prix,2022,2.0,2.0
2.0,1,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,MAG,Haas F1 Team,113.795,MEDIUM,Hungarian Grand Prix,2022,2.0,2.0
4.0,0,0.02857142857142857,1.0,107.0,0,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,RIC,McLaren,113.527,SOFT,Hungarian Grand Prix,2022,2.0,4.0
2.0,1,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,MSC,Haas F1 Team,113.475,MEDIUM,Hungarian Grand Prix,2022,2.0,2.0
2.0,1,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,BOT,Alfa Romeo,113.373,MEDIUM,Hungarian Grand Prix,2022,2.0,2.0
5.0,0,0.02857142857142857,1.0,107.0,0,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,STR,Aston Martin,112.761,SOFT,Hungarian Grand Prix,2022,2.0,5.0
2.0,0,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,TSU,AlphaTauri,111.19,SOFT,Hungarian Grand Prix,2022,2.0,2.0
2.0,1,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,ZHO,Alfa Romeo,110.81,MEDIUM,Hungarian Grand Prix,2022,2.0,2.0
2.0,0,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,VET,Aston Martin,110.871,SOFT,Hungarian Grand Prix,2022,2.0,2.0
2.0,1,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,LAT,Williams,111.116,MEDIUM,Hungarian Grand Prix,2022,2.0,2.0
2.0,0,0.02857142857142857,1.0,107.0,1,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,GAS,AlphaTauri,109.869,SOFT,Hungarian Grand Prix,2022,2.0,2.0
6.0,0,0.04285714285714286,1.0,105.5,0,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,RUS,Mercedes,90.593,SOFT,Hungarian Grand Prix,2022,3.0,6.0
3.0,1,0.04285714285714286,1.0,105.5,0,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,SAI,Ferrari,88.905,MEDIUM,Hungarian Grand Prix,2022,3.0,3.0
3.0,1,0.04285714285714286,1.0,105.5,0,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,LEC,Ferrari,88.826,MEDIUM,Hungarian Grand Prix,2022,3.0,3.0
6.0,0,0.04285714285714286,1.0,105.5,0,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,NOR,McLaren,89.459,SOFT,Hungarian Grand Prix,2022,3.0,6.0
3.0,1,0.04285714285714286,1.0,105.5,0,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,HAM,Mercedes,89.528,MEDIUM,Hungarian Grand Prix,2022,3.0,3.0
3.0,1,0.04285714285714286,1.0,105.5,0,26.5,18.4,50.22316459498795,22.673054228218525,187.16505123203055,OCO,Alpine,89.34,MEDIUM,Hungarian Grand Prix,2022,3.0,3.0
3.0,1,0.04285714285714286,1.0,105.5,0,26.7,18.4,50.22316459498795,22.673054228218525,187.16505123203055,ALO,Alpine,89.05,MEDIUM,Hungarian Grand Prix,2022,3.0,3.0
4.0,0,0.04285714285714286,1.0,105.5,0,26.7,18.4,50.22316459498795,22.673054228218525,187.16505123203055,VER,Red Bull Racing,88.191,SOFT,Hungarian Grand Prix,2022,3.0,4.0
3.0,0,0.04285714285714286,1.0,105.5,0,26.7,18.4,50.22316459498795,22.673054228218525,187.16505123203055,PER,Red Bull Racing,86.519,SOFT,Hungarian Grand Prix,2022,3.0,3.0
3.0,1,0.04285714285714286,1.0,105.5,0,26.7,18.4,50.22316459498795,22.673054228218525,187.16505123203055,MAG,Haas F1 Team,87.21,MEDIUM,Hungarian Grand Prix,2022,3.0,3.0
5.0,0,0.04285714285714286,1.0,105.5,0,26.7,18.4,50.22316459498795,22.673054228218525,187.16505123203055,RIC,McLaren,87.333,SOFT,Hungarian Grand Prix,2022,3.0,5.0
3.0,1,0.04285714285714286,1.0,105.5,0,26.7,18.4,50.22316459498795,22.673054228218525,187.16505123203055,MSC,Haas F1 Team,87.366,MEDIUM,Hungarian Grand Prix,2022,3.0,3.0
3.0,1,0.04285714285714286,1.0,105.5,0,26.7,18.4,50.22316459498795,22.673054228218525,187.16505123203055,BOT,Alfa Romeo,87.408,MEDIUM,Hungarian Grand Prix,2022,3.0,3.0
6.0,0,0.04285714285714286,1.0,105.5,0,26.7,18.4,50.22316459498795,22.673054228218525,187.16505123203055,STR,Aston Martin,87.496,SOFT,Hungarian Grand Prix,2022,3.0,6.0
3.0,0,0.04285714285714286,1.0,105.5,0,26.7,18.4,50.22316459498795,22.673054228218525,187.16505123203055,TSU,AlphaTauri,88.098,SOFT,Hungarian Grand Prix,2022,3.0,3.0
