TyreLife,CompoundEnc,RaceLapPct,Stint,FuelLoad,IsWarmup,TrackTemp,AirTemp,CircuitThrottlePct,CircuitBrakePct,CircuitAvgSpeed,Driver,Team,LapTimeSec,Compound,Circuit,Year,LapNumber,TyreLife
1.0,0,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,VER,Red Bull Racing,90.827,SOFT,Italian Grand Prix,2022,1.0,1.0
1.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,ALO,Alpine,93.058,MEDIUM,Italian Grand Prix,2022,1.0,1.0
1.0,0,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,LEC,Ferrari,88.085,SOFT,Italian Grand Prix,2022,1.0,1.0
2.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,STR,Aston Martin,94.774,MEDIUM,Italian Grand Prix,2022,1.0,2.0
1.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,MAG,Haas F1 Team,95.277,MEDIUM,Italian Grand Prix,2022,1.0,1.0
1.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,GAS,AlphaTauri,91.681,MEDIUM,Italian Grand Prix,2022,1.0,1.0
1.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,TSU,AlphaTauri,97.42,MEDIUM,Italian Grand Prix,2022,1.0,1.0
1.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,ZHO,Alfa Romeo,93.823,MEDIUM,Italian Grand Prix,2022,1.0,1.0
1.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,RIC,McLaren,90.751,MEDIUM,Italian Grand Prix,2022,1.0,1.0
1.0,0,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,OCO,Alpine,95.68,SOFT,Italian Grand Prix,2022,1.0,1.0
1.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,NOR,McLaren,92.356,MEDIUM,Italian Grand Prix,2022,1.0,1.0
1.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,HAM,Mercedes,97.652,MEDIUM,Italian Grand Prix,2022,1.0,1.0
1.0,0,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,DEV,Williams,93.491,SOFT,Italian Grand Prix,2022,1.0,1.0
1.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,MSC,Haas F1 Team,97.137,MEDIUM,Italian Grand Prix,2022,1.0,1.0
2.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,VET,Aston Martin,94.498,MEDIUM,Italian Grand Prix,2022,1.0,2.0
1.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,SAI,Ferrari,96.448,MEDIUM,Italian Grand Prix,2022,1.0,1.0
1.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,PER,Red Bull Racing,96.234,MEDIUM,Italian Grand Prix,2022,1.0,1.0
1.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,BOT,Alfa Romeo,98.273,MEDIUM,Italian Grand Prix,2022,1.0,1.0
1.0,0,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,RUS,Mercedes,89.427,SOFT,Italian Grand Prix,2022,1.0,1.0
1.0,1,0.018867924528301886,1.0,108.5,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,LAT,Williams,95.968,MEDIUM,Italian Grand Prix,2022,1.0,1.0
2.0,0,0.03773584905660377,1.0,107.0,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,LEC,Ferrari,86.535,SOFT,Italian Grand Prix,2022,2.0,2.0
2.0,0,0.03773584905660377,1.0,107.0,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,RUS,Mercedes,86.724,SOFT,Italian Grand Prix,2022,2.0,2.0
2.0,1,0.03773584905660377,1.0,107.0,1,43.5,27.8,69.67660549448183,16.039624334202546,240.34584246938348,RIC,McLaren,88.398,MEDIUM,Italian Grand Prix,2022,2.0,2.0
