TyreLife,CompoundEnc,RaceLapPct,Stint,FuelLoad,IsWarmup,TrackTemp,AirTemp,CircuitThrottlePct,CircuitBrakePct,CircuitAvgSpeed,Driver,Team,LapTimeSec,Compound,Circuit,Year,LapNumber,TyreLife
2.0,2,0.0625,3.0,104.0,1,28.6,21.4,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,104.039,HARD,Monaco Grand Prix,2022,4.0,2.0
3.0,2,0.078125,3.0,102.5,0,28.5,21.5,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,100.616,HARD,Monaco Grand Prix,2022,5.0,3.0
4.0,2,0.09375,3.0,101.0,0,28.4,21.5,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,99.637,HARD,Monaco Grand Prix,2022,6.0,4.0
5.0,2,0.109375,3.0,99.5,0,28.5,21.7,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,99.51,HARD,Monaco Grand Prix,2022,7.0,5.0
6.0,2,0.125,3.0,98.0,0,28.2,21.8,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,97.724,HARD,Monaco Grand Prix,2022,8.0,6.0
7.0,2,0.140625,3.0,96.5,0,28.1,21.6,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,97.213,HARD,Monaco Grand Prix,2022,9.0,7.0
8.0,2,0.15625,3.0,95.0,0,28.3,21.9,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,104.874,HARD,Monaco Grand Prix,2022,10.0,8.0
9.0,2,0.171875,3.0,93.5,0,27.9,21.9,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,97.432,HARD,Monaco Grand Prix,2022,11.0,9.0
10.0,2,0.1875,3.0,92.0,0,27.3,21.9,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,95.502,HARD,Monaco Grand Prix,2022,12.0,10.0
11.0,2,0.203125,3.0,90.5,0,27.0,22.0,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,94.75,HARD,Monaco Grand Prix,2022,13.0,11.0
12.0,2,0.21875,3.0,89.0,0,27.0,21.9,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,93.9,HARD,Monaco Grand Prix,2022,14.0,12.0
13.0,2,0.234375,3.0,87.5,0,27.2,21.9,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,93.195,HARD,Monaco Grand Prix,2022,15.0,13.0
14.0,2,0.25,3.0,86.0,0,27.0,21.9,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,92.971,HARD,Monaco Grand Prix,2022,16.0,14.0
15.0,2,0.265625,3.0,84.5,0,26.9,22.1,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,93.177,HARD,Monaco Grand Prix,2022,17.0,15.0
16.0,2,0.28125,3.0,83.0,0,26.8,22.0,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,93.414,HARD,Monaco Grand Prix,2022,18.0,16.0
19.0,2,0.328125,3.0,78.5,0,27.6,22.1,37.45257679290948,30.26461759775092,153.290093365853,LAT,Williams,99.08,HARD,Monaco Grand Prix,2022,21.0,19.0
2.0,2,0.359375,3.0,75.5,1,27.3,22.1,37.45257679290948,30.26461759775092,153.290093365853,LEC,Ferrari,88.779,HARD,Monaco Grand Prix,2022,23.0,2.0
