TyreLife,CompoundEnc,RaceLapPct,Stint,FuelLoad,IsWarmup,TrackTemp,AirTemp,CircuitThrottlePct,CircuitBrakePct,CircuitAvgSpeed,Driver,Team,LapTimeSec,Compound,Circuit,Year,LapNumber,TyreLife
4.0,0,0.015151515151515152,1.0,108.5,0,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,VER,Red Bull Racing,89.739,SOFT,Spanish Grand Prix,2022,1.0,4.0
4.0,0,0.015151515151515152,1.0,108.5,0,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,PER,Red Bull Racing,92.215,SOFT,Spanish Grand Prix,2022,1.0,4.0
1.0,0,0.015151515151515152,1.0,108.5,1,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,ALB,Williams,99.503,SOFT,Spanish Grand Prix,2022,1.0,1.0
4.0,0,0.015151515151515152,1.0,108.5,0,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,RUS,Mercedes,90.987,SOFT,Spanish Grand Prix,2022,1.0,4.0
1.0,0,0.015151515151515152,1.0,108.5,1,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,LAT,Williams,100.512,SOFT,Spanish Grand Prix,2022,1.0,1.0
4.0,0,0.015151515151515152,1.0,108.5,0,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,STR,Aston Martin,98.434,SOFT,Spanish Grand Prix,2022,1.0,4.0
4.0,0,0.015151515151515152,1.0,108.5,0,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,SAI,Ferrari,92.878,SOFT,Spanish Grand Prix,2022,1.0,4.0
1.0,0,0.015151515151515152,1.0,108.5,1,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,ZHO,Alfa Romeo,99.84,SOFT,Spanish Grand Prix,2022,1.0,1.0
3.0,0,0.015151515151515152,1.0,108.5,0,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,MSC,Haas F1 Team,94.018,SOFT,Spanish Grand Prix,2022,1.0,3.0
4.0,0,0.015151515151515152,1.0,108.5,0,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,RIC,McLaren,95.429,SOFT,Spanish Grand Prix,2022,1.0,4.0
4.0,0,0.015151515151515152,1.0,108.5,0,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,VET,Aston Martin,97.914,SOFT,Spanish Grand Prix,2022,1.0,4.0
4.0,0,0.015151515151515152,1.0,108.5,0,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,BOT,Alfa Romeo,94.684,SOFT,Spanish Grand Prix,2022,1.0,4.0
1.0,0,0.015151515151515152,1.0,108.5,1,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,TSU,AlphaTauri,97.032,SOFT,Spanish Grand Prix,2022,1.0,1.0
1.0,0,0.015151515151515152,1.0,108.5,1,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,ALO,Alpine,99.123,SOFT,Spanish Grand Prix,2022,1.0,1.0
1.0,0,0.015151515151515152,1.0,108.5,1,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,OCO,Alpine,95.905,SOFT,Spanish Grand Prix,2022,1.0,1.0
1.0,0,0.015151515151515152,1.0,108.5,1,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,GAS,AlphaTauri,97.54,SOFT,Spanish Grand Prix,2022,1.0,1.0
1.0,0,0.015151515151515152,1.0,108.5,1,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,LEC,Ferrari,88.746,SOFT,Spanish Grand Prix,2022,1.0,1.0
1.0,0,0.015151515151515152,1.0,108.5,1,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,NOR,McLaren,96.471,SOFT,Spanish Grand Prix,2022,1.0,1.0
2.0,0,0.030303030303030304,1.0,107.0,1,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,LEC,Ferrari,87.627,SOFT,Spanish Grand Prix,2022,2.0,2.0
5.0,0,0.030303030303030304,1.0,107.0,0,49.3,36.6,46.71731774657509,20.409066681129865,193.6659965831922,VER,Red Bull Racing,87.509,SOFT,Spanish Grand Prix,2022,2.0,5.0
5.0,0,0.030303030303030304,1.0,107.0,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,RUS,Mercedes,87.831,SOFT,Spanish Grand Prix,2022,2.0,5.0
5.0,0,0.030303030303030304,1.0,107.0,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,PER,Red Bull Racing,87.791,SOFT,Spanish Grand Prix,2022,2.0,5.0
5.0,0,0.030303030303030304,1.0,107.0,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,SAI,Ferrari,88.431,SOFT,Spanish Grand Prix,2022,2.0,5.0
4.0,0,0.030303030303030304,1.0,107.0,0,49.4,36.7,46.71731774657509,20.409066681129865,193.6659965831922,MSC,Haas F1 Team,89.013,SOFT,Spanish Grand Prix,2022,2.0,4.0
