Circuit,Model,Sigma,Snap_pct,Snap_lap,Flip_rate,Mean_time_delta_s,Baseline_rec,Baseline_delta_s
Bahrain Grand Prix,Linear Regression,0.0,0.25,14,0.0,28.4692,Stay Out,28.4692
Bahrain Grand Prix,Linear Regression,0.0,0.35,19,0.0,30.2216,Stay Out,30.2216
Bahrain Grand Prix,Linear Regression,0.0,0.45,25,0.0,31.974,Stay Out,31.974
Bahrain Grand Prix,Linear Regression,0.0,0.55,31,0.0,32.7956,Stay Out,32.7956
Bahrain Grand Prix,Linear Regression,0.0,0.65,37,0.0,31.0612,Stay Out,31.0612
Bahrain Grand Prix,Linear Regression,0.1,0.25,14,0.0,28.6488,Stay Out,28.4692
Bahrain Grand Prix,Linear Regression,0.1,0.35,19,0.0,30.1744,Stay Out,30.2216
Bahrain Grand Prix,Linear Regression,0.1,0.45,25,0.0,31.7809,Stay Out,31.974
Bahrain Grand Prix,Linear Regression,0.1,0.55,31,0.0,32.7635,Stay Out,32.7956
Bahrain Grand Prix,Linear Regression,0.1,0.65,37,0.0,31.1428,Stay Out,31.0612
Bahrain Grand Prix,Linear Regression,0.2,0.25,14,0.0,28.2032,Stay Out,28.4692
Bahrain Grand Prix,Linear Regression,0.2,0.35,19,0.0,30.0854,Stay Out,30.2216
Bahrain Grand Prix,Linear Regression,0.2,0.45,25,0.0,31.9501,Stay Out,31.974
Bahrain Grand Prix,Linear Regression,0.2,0.55,31,0.0,33.4857,Stay Out,32.7956
Bahrain Grand Prix,Linear Regression,0.2,0.65,37,0.0,30.763,Stay Out,31.0612
Bahrain Grand Prix,Linear Regression,0.3,0.25,14,0.0,28.6689,Stay Out,28.4692
Bahrain Grand Prix,Linear Regression,0.3,0.35,19,0.0,29.7485,Stay Out,30.2216
Bahrain Grand Prix,Linear Regression,0.3,0.45,25,0.0,31.586,Stay Out,31.974
Bahrain Grand Prix,Linear Regression,0.3,0.55,31,0.0,31.9308,Stay Out,32.7956
Bahrain Grand Prix,Linear Regression,0.3,0.65,37,0.0,30.5376,Stay Out,31.0612
Bahrain Grand Prix,Linear Regression,0.5,0.25,14,0.0,29.7049,Stay Out,28.4692
Bahrain Grand Prix,Linear Regression,0.5,0.35,19,0.0,29.2909,Stay Out,30.2216
Bahrain Grand Prix,Linear Regression,0.5,0.45,25,0.0,32.8708,Stay Out,31.974
Bahrain Grand Prix,Linear Regression,0.5,0.55,31,0.0,32.7045,Stay Out,32.7956
Bahrain Grand Prix,Linear Regression,0.5,0.65,37,0.0,31.0572,Stay Out,31.0612
Bahrain Grand Prix,Linear Regression,0.75,0.25,14,0.0,30.3784,Stay Out,28.4692
Bahrain Grand Prix,Linear Regression,0.75,0.35,19,0.0,31.1714,Stay Out,30.2216
Bahrain Grand Prix,Linear Regression,0.75,0.45,25,0.0,31.7093,Stay Out,31.974
Bahrain Grand Prix,Linear Regression,0.75,0.55,31,0.0,30.9594,Stay Out,32.7956
Bahrain Grand Prix,Linear Regression,0.75,0.65,37,0.0,32.0139,Stay Out,31.0612
Bahrain Grand Prix,Linear Regression,1.0,0.25,14,0.0,28.5989,Stay Out,28.4692
Bahrain Grand Prix,Linear Regression,1.0,0.35,19,0.0,27.8422,Stay Out,30.2216
Bahrain Grand Prix,Linear Regression,1.0,0.45,25,0.0,31.4465,Stay Out,31.974
Bahrain Grand Prix,Linear Regression,1.0,0.55,31,0.0,33.337,Stay Out,32.7956
Bahrain Grand Prix,Linear Regression,1.0,0.65,37,0.0,31.1594,Stay Out,31.0612
Bahrain Grand Prix,Linear Regression,1.5,0.25,14,0.0,25.2965,Stay Out,28.4692
Bahrain Grand Prix,Linear Regression,1.5,0.35,19,0.0,28.9035,Stay Out,30.2216
Bahrain Grand Prix,Linear Regression,1.5,0.45,25,0.0,30.862,Stay Out,31.974
Bahrain Grand Prix,Linear Regression,1.5,0.55,31,0.0,33.2471,Stay Out,32.7956
Bahrain Grand Prix,Linear Regression,1.5,0.65,37,0.0,29.6105,Stay Out,31.0612
Bahrain Grand Prix,Linear Regression,2.0,0.25,14,0.0667,28.61,Stay Out,28.4692
Bahrain Grand Prix,Linear Regression,2.0,0.35,19,0.0333,25.5462,Stay Out,30.2216
Bahrain Grand Prix,Linear Regression,2.0,0.45,25,0.0333,29.7873,Stay Out,31.974
Bahrain Grand Prix,Linear Regression,2.0,0.55,31,0.0,29.8503,Stay Out,32.7956
Bahrain Grand Prix,Linear Regression,2.0,0.65,37,0.0,29.8543,Stay Out,31.0612
Bahrain Grand Prix,Ridge Regression,0.0,0.25,14,0.0,28.8971,Stay Out,28.8971
Bahrain Grand Prix,Ridge Regression,0.0,0.35,19,0.0,30.5183,Stay Out,30.5183
Bahrain Grand Prix,Ridge Regression,0.0,0.45,25,0.0,32.1395,Stay Out,32.1395
Bahrain Grand Prix,Ridge Regression,0.0,0.55,31,0.0,32.8598,Stay Out,32.8598
Bahrain Grand Prix,Ridge Regression,0.0,0.65,37,0.0,31.0687,Stay Out,31.0687
Bahrain Grand Prix,Ridge Regression,0.1,0.25,14,0.0,28.9535,Stay Out,28.8971
Bahrain Grand Prix,Ridge Regression,0.1,0.35,19,0.0,30.3988,Stay Out,30.5183
Bahrain Grand Prix,Ridge Regression,0.1,0.45,25,0.0,32.3752,Stay Out,32.1395
Bahrain Grand Prix,Ridge Regression,0.1,0.55,31,0.0,32.7888,Stay Out,32.8598
Bahrain Grand Prix,Ridge Regression,0.1,0.65,37,0.0,31.1079,Stay Out,31.0687
Bahrain Grand Prix,Ridge Regression,0.2,0.25,14,0.0,28.7852,Stay Out,28.8971
Bahrain Grand Prix,Ridge Regression,0.2,0.35,19,0.0,30.7941,Stay Out,30.5183
Bahrain Grand Prix,Ridge Regression,0.2,0.45,25,0.0,32.5315,Stay Out,32.1395
Bahrain Grand Prix,Ridge Regression,0.2,0.55,31,0.0,33.1622,Stay Out,32.8598
Bahrain Grand Prix,Ridge Regression,0.2,0.65,37,0.0,30.863,Stay Out,31.0687
Bahrain Grand Prix,Ridge Regression,0.3,0.25,14,0.0,28.7706,Stay Out,28.8971
Bahrain Grand Prix,Ridge Regression,0.3,0.35,19,0.0,30.9507,Stay Out,30.5183
Bahrain Grand Prix,Ridge Regression,0.3,0.45,25,0.0,31.6409,Stay Out,32.1395
Bahrain Grand Prix,Ridge Regression,0.3,0.55,31,0.0,32.8951,Stay Out,32.8598
Bahrain Grand Prix,Ridge Regression,0.3,0.65,37,0.0,30.9613,Stay Out,31.0687
Bahrain Grand Prix,Ridge Regression,0.5,0.25,14,0.0,28.155,Stay Out,28.8971
Bahrain Grand Prix,Ridge Regression,0.5,0.35,19,0.0,31.1832,Stay Out,30.5183
Bahrain Grand Prix,Ridge Regression,0.5,0.45,25,0.0,32.4916,Stay Out,32.1395
Bahrain Grand Prix,Ridge Regression,0.5,0.55,31,0.0,32.9352,Stay Out,32.8598
Bahrain Grand Prix,Ridge Regression,0.5,0.65,37,0.0,31.1561,Stay Out,31.0687
Bahrain Grand Prix,Ridge Regression,0.75,0.25,14,0.0,29.2755,Stay Out,28.8971
Bahrain Grand Prix,Ridge Regression,0.75,0.35,19,0.0,29.5175,Stay Out,30.5183
Bahrain Grand Prix,Ridge Regression,0.75,0.45,25,0.0,32.469,Stay Out,32.1395
Bahrain Grand Prix,Ridge Regression,0.75,0.55,31,0.0,33.5936,Stay Out,32.8598
Bahrain Grand Prix,Ridge Regression,0.75,0.65,37,0.0,29.4871,Stay Out,31.0687
Bahrain Grand Prix,Ridge Regression,1.0,0.25,14,0.0,27.2222,Stay Out,28.8971
Bahrain Grand Prix,Ridge Regression,1.0,0.35,19,0.0,27.0298,Stay Out,30.5183
Bahrain Grand Prix,Ridge Regression,1.0,0.45,25,0.0,30.1399,Stay Out,32.1395
Bahrain Grand Prix,Ridge Regression,1.0,0.55,31,0.0,32.2104,Stay Out,32.8598
Bahrain Grand Prix,Ridge Regression,1.0,0.65,37,0.0,31.2476,Stay Out,31.0687
